# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 3 3038 5119 22966 4926
p 2 1 2388 5771 6631 3463
p 2 53 3156 4951 28605 5598
p 2 3 2797 5360 7257 3846
p 2 12 3383 4765 23469 5329
p 2 1 2973 5186 7454 4013
p 2 5 2790 5365 21594 4670
p 2 1 3045 5114 7340 4060
p 2 12 3296 4852 25917 5300
p 2 2 2286 5872 5664 3343
p 2 4 2771 5385 24521 4752
p 2 0 2649 5511 6597 3677
p 2 13 3511 4636 26463 5561
p 2 1 2420 5739 6339 3499
p 2 16 2604 5540 25481 4737
p 2 1 2828 5331 7392 3903
p 2 34 3081 5045 23132 5093
p 2 2 2310 5848 6162 3359
p 2 24 2668 5468 21741 4565
p 2 2 2288 5870 6120 3299
p 2 32 2688 5440 21767 4569
p 2 6 2038 6116 6435 3168
p 2 16 2833 5311 22604 4701
p 2 14 2392 5754 8312 3620
p 2 46 2847 5267 28874 5194
p 2 10 2286 5864 7998 3558
p 2 22 2501 5637 23181 4629
p 2 18 2688 5454 9607 3990
p 2 27 2760 5373 24741 4916
p 2 14 2224 5922 8375 3480
p 2 72 3340 4748 33972 6004
p 2 16 2008 6136 7516 3301
p 2 25 2611 5524 26205 4819
p 2 10 2081 6069 7343 3307
p 2 23 2742 5395 25929 4871
p 2 9 2426 5725 8456 3643
p 2 50 2414 5696 27955 4899
p 2 5 1816 6339 6811 3027
p 2 13 2574 5573 23007 4564
p 2 6 2049 6105 7152 3269
p 2 6 2181 5973 21668 4157
p 2 6 1877 6277 7074 3116
p 2 59 2042 6059 26710 4600
p 2 4 1506 6650 5465 2717
p 2 16 2153 5991 21150 4131
p 2 3 1614 6543 6179 2821
i 2 8160 0 0 283958 32732
p 2 0 3193 4967 10385 4287
p 2 0 3490 4670 11088 4606
p 2 0 2460 5700 9346 3579
p 2 2 2519 5639 9198 3616
p 2 0 3200 4960 11461 4288
p 2 0 2672 5488 10018 3731
p 2 0 2034 6126 8446 3113
p 2 1 2208 5951 8995 3299
p 2 1 1836 6323 8424 2934
p 2 0 1884 6276 8177 2939
p 2 0 2083 6077 8345 3133
p 2 1 1975 6184 8474 3044
p 2 0 1951 6209 8415 3026
p 2 1 2055 6104 8971 3121
p 2 3 2428 5729 9910 3508
p 2 2 1976 6182 8687 3056
p 2 2 1760 6398 8141 2848
p 2 0 2169 5991 9154 3248
p 2 0 1969 6191 8659 3053
p 2 0 1902 6258 8185 2961
p 2 1 2260 5899 9129 3331
p 2 0 1843 6317 8164 2909
p 2 0 1681 6479 7814 2763
p 2 1 1865 6294 8263 2948
p 2 1 1791 6368 8170 2901
p 2 0 1780 6380 7810 2875
p 2 1 2145 6014 8619 3223
p 2 1 1693 6466 7711 2804
p 2 0 1566 6594 7073 2661
p 2 0 1910 6250 7921 3003
p 2 0 1759 6401 7780 2843
p 2 2 1653 6505 7507 2740
p 2 0 2033 6127 8615 3111
p 2 1 1724 6435 7910 2802
p 2 1 1437 6722 7395 2526
p 2 3 1734 6423 7846 2823
p 2 0 1622 6538 7793 2708
p 2 0 1436 6724 7150 2511
p 2 0 1848 6312 8090 2916
p 2 2 1622 6536 7512 2715
p 2 1 1376 6783 6927 2468
p 2 0 1687 6473 7524 2761
p 2 0 1569 6591 7514 2669
p 2 0 1398 6762 7193 2497
p 2 0 1860 6300 8091 2968
p 2 1 1592 6567 7529 2694
p 2 0 1289 6871 7037 2397
p 2 1 1585 6574 7702 2703
p 2 0 1448 6712 7542 2551
p 2 1 1304 6855 7721 2442
p 2 1 1668 6491 8436 2805
p 2 1 1562 6597 7836 2675
p 2 0 1236 6924 7103 2370
p 2 2 1429 6729 7718 2577
p 2 1 1335 6824 7029 2463
p 2 0 1150 7010 6626 2276
p 2 0 1479 6681 7575 2608
p 2 0 1468 6692 7321 2574
p 2 1 1095 7064 6187 2222
p 2 1 1351 6808 6792 2461
p 2 1 1201 6958 6277 2313
p 2 0 1010 7150 5765 2113
p 2 0 1328 6832 6587 2441
p 2 1 1299 6860 6694 2448
p 2 0 924 7236 5911 2072
p 2 1 1123 7036 6611 2270
p 2 2 1075 7083 6625 2219
p 2 1 776 7383 6073 1937
p 2 2 936 7222 6905 2095
p 2 1 1022 7137 7214 2184
p 2 1 705 7454 6412 1863
i 2 8160 0 0 160050 28040
p 2 44 7914 202 47943 11486
p 2 28 7966 166 50738 11618
p 2 95 8055 10 55263 11939
p 2 25 8030 105 50641 11479
p 2 22 7995 143 45069 10795
p 2 54 8080 26 57212 11808
p 2 15 8059 86 45032 10816
p 2 11 8028 121 49647 10830
p 2 26 8112 22 51489 11538
p 2 21 8048 91 50305 11432
p 2 17 8008 135 44984 11124
p 2 44 8098 18 59887 11916
p 2 16 8054 90 46070 11236
p 2 25 8016 119 50512 11381
p 2 102 8038 20 54923 11876
p 2 17 8067 76 51472 11502
p 2 23 7991 146 45758 10802
p 2 97 8042 21 62371 12188
p 2 20 8043 97 45415 11286
p 2 31 8017 112 50623 11536
p 2 41 8102 17 50840 11581
p 2 10 8062 88 50812 11380
p 2 33 8014 113 45965 11367
p 2 63 8077 20 58970 11921
p 2 23 8076 61 45636 11328
p 2 20 8015 125 50835 11434
p 2 71 8070 19 54532 11830
p 2 26 8044 90 50420 11506
p 2 23 7994 143 45545 11289
p 2 95 8044 21 58518 12037
p 2 14 8041 105 46352 11398
p 2 14 7996 150 51400 11509
p 2 95 8043 22 54317 11882
p 2 17 8038 105 50220 11482
p 2 11 8006 143 45334 11260
p 2 39 8100 21 57819 11923
p 2 17 8054 89 45019 11261
p 2 16 8016 128 49580 11485
p 2 34 8104 22 50815 11651
p 2 14 8056 90 49208 11006
p 2 29 7999 132 44099 10861
p 2 43 8100 17 57660 12014
p 2 12 8072 76 44017 11345
p 2 12 8023 125 49039 11412
p 2 91 8044 25 53020 11839
p 2 16 8058 86 50566 11557
p 2 10 8021 129 44820 10898
p 2 103 8038 19 60286 12226
p 2 11 8069 80 44438 11317
p 2 14 8017 129 47885 11482
p 2 34 8111 15 51040 11647
p 2 14 8076 70 49709 11537
p 2 15 8018 127 44243 11253
p 2 50 8091 19 57204 11935
p 2 23 8068 69 43879 11335
p 2 14 8031 115 48957 11479
p 2 51 8091 18 52291 11847
p 2 13 8073 74 49341 11550
p 2 11 8028 121 44160 11334
p 2 85 8053 22 57181 12077
p 2 12 8037 111 43865 11359
p 2 17 8004 139 48752 11476
p 2 94 8043 23 51774 11921
p 2 25 8029 106 47940 11395
p 2 13 8005 142 42475 10759
p 2 28 8113 19 54574 11840
p 2 17 8052 91 43123 11327
p 2 8 8027 125 47231 10919
p 2 28 8111 21 49083 11653
p 2 9 8051 100 46936 11372
p 2 11 7989 160 40201 11046
i 2 8160 0 0 148950 29349
p 2 1664 6388 108 131943 19261
p 2 32 7956 172 47691 11566
p 2 33 7977 150 45777 11280
p 2 1296 6776 88 126534 18556
p 2 14 7935 211 45691 11408
p 2 12 8021 127 45134 11397
p 2 1055 6980 125 128755 18076
p 2 13 7950 197 53251 12315
p 2 10 7956 194 43576 11386
p 2 1197 6854 109 130711 18357
p 2 6 7983 171 46698 11614
p 2 4 8043 113 46312 11397
p 2 1077 6873 210 127765 17640
p 2 24 7904 232 41785 10802
p 2 5 7999 156 37015 10282
p 2 1261 6743 156 122880 17617
p 2 9 7967 184 35495 10635
p 2 11 8034 115 39919 10821
p 2 1381 6636 143 133618 18862
p 2 26 7949 185 51976 12114
p 2 19 7947 194 46711 11284
p 2 1415 6653 92 122498 18238
p 2 40 7936 184 47934 11729
p 2 19 8039 102 43469 11439
p 2 1411 6632 117 117587 17942
p 2 16 7970 174 33005 10268
p 2 9 8054 97 35982 10273
p 2 1352 6731 77 121898 17882
p 2 19 8066 75 48716 11107
p 2 18 8070 72 46522 10900
p 2 970 7131 59 110494 16529
p 2 21 8073 66 45142 11211
p 2 29 8075 56 31756 9700
p 2 822 7278 60 98167 14942
p 2 17 8086 57 42528 11010
p 2 16 8086 58 42991 11080
p 2 651 7420 89 96296 14950
p 2 17 8116 27 46293 11699
p 2 21 8104 35 28385 10064
p 2 507 7609 44 91657 13967
p 2 4 8135 21 44225 11086
p 2 5 8121 34 43420 11087
p 2 479 7615 66 97712 14812
p 2 4 8097 59 36291 10341
p 2 5 8082 73 33995 10242
p 2 490 7593 77 96744 14587
p 2 26 8020 114 43479 11257
p 2 9 8053 98 46020 11555
p 2 610 7443 107 95278 14359
p 2 6 8040 114 45419 11434
p 2 10 7968 182 42450 11117
p 2 1044 7058 58 106821 16380
p 2 4 8046 110 28618 9504
p 2 4 8051 105 41355 10750
p 2 1205 6840 115 117790 17364
p 2 4 7931 225 37266 10521
p 2 1 8043 116 38976 10329
p 2 1486 6608 66 125540 18038
p 2 6 7979 175 40911 10870
p 2 1 8040 119 36508 10178
p 2 1350 6657 153 118006 17393
p 2 4 7984 172 37965 10575
p 2 1 8037 122 45035 10570
p 2 1096 6998 66 120424 17422
p 2 1 8041 118 24130 9222
p 2 1 8012 147 39541 10642
p 2 821 7216 123 101503 15656
p 2 13 8001 146 43891 10818
p 2 4 8028 128 41872 10744
p 2 769 7303 88 95689 14763
p 2 5 8045 110 42593 11061
p 2 3 8086 71 40914 10310
p 2 606 7480 74 98229 14614
p 2 2 8041 117 45531 10980
p 2 6 8050 104 32834 9675
p 2 420 7658 82 68632 12673
p 2 6 8052 102 41539 10251
p 2 5 7978 177 30743 9473
p 2 271 7102 787 65648 11947
p 2 4 3647 4509 10946 4859
p 2 3 2673 5484 8315 3823
p 2 50 3570 4540 35162 5956
p 2 3 2761 5396 8680 3941
p 2 2 2384 5774 7106 3502
p 2 33 3143 4984 31621 5343
p 2 3 2263 5894 7449 3412
p 2 3 1921 6236 6601 3040
p 2 17 3017 5126 31660 5007
p 2 6 2434 5720 8243 3591
p 2 2 1608 6550 6441 2746
p 2 28 2368 5764 31634 4475
p 2 3 1822 6335 7450 3007
p 2 26 2072 6062 33851 4333
p 2 0 1922 6238 7771 3104
p 2 7 1637 6516 6993 2815
i 2 8160 0 0 273717 34884
p 2 3 7752 405 57571 10503
p 2 4 7906 250 68486 10822
p 2 10 7845 305 73092 10987
p 2 1 8033 126 72089 11216
p 2 2 8018 140 78373 11608
p 2 21 7945 194 76692 11358
p 2 1 7981 178 71542 11284
p 2 1 7959 200 65270 10969
p 2 12 8035 113 84672 11823
p 2 1 8035 124 77890 11603
p 2 0 7967 193 64816 10910
p 2 15 8003 142 84193 11679
p 2 0 8019 141 73264 11296
p 2 1 7978 181 66308 11055
p 2 9 8034 117 82726 11789
p 2 1 8027 132 79287 11696
p 2 0 7965 195 66968 11060
p 2 27 8000 133 83695 11792
p 2 2 8027 131 74513 11439
p 2 0 8020 140 68220 11230
p 2 10 8057 93 88273 12011
p 2 2 8051 107 81059 11771
p 2 5 7993 162 68447 11155
p 2 24 7999 137 86919 11876
p 2 3 8050 107 76267 11560
p 2 3 8005 152 69586 11251
p 2 11 8058 91 85164 11950
p 2 3 8076 81 81945 11892
